username,summary_type,email,name,project,bug,summary_type
godfree2,lexrank,,,Launchpad,892838,lexrank
medigeek,email,,,Launchpad,892838,email
shangwu,lexrank,,,Launchpad,884133,lexrank
blasterjr,email,,,Launchpad,884133,email
dixon1e,lexrank,,,Launchpad,884133,lexrank
andreserl,email,,,Launchpad,884133,email
austinenglish,email,,,Launchpad,923596,email
r0lf,lexrank,,,Launchpad,923596,lexrank
nsandschn,email,,,Launchpad,923596,email
jjmckenzie51-v,lexrank,,,Launchpad,923596,lexrank
rik-palm,lexrank,,,Launchpad,895517,lexrank
professor-tesla,email,,,Launchpad,895517,email
smoser,lexrank,,,Launchpad,885087,lexrank
mordred,email,,,Launchpad,885087,email
